# GeoNames-derived (cities1000 via cities.json + all-the-cities feature codes, CC BY 4.0, geonames.org) — CA+US, lat-sorted; col6: 1=primary place, 0=city section/neighbourhood
Waimanalo	Hawaii	21.34614	-157.7238	US	1
Makakilo City	Hawaii	21.34694	-158.08583	US	1
Joint Base Pearl Harbor Hickam	Hawaii	21.34906	-157.94713	US	1
Ford Island	Hawaii	21.34981	-157.95924	US	1
Makakilo	Hawaii	21.35237	-158.08655	US	1
Moanalua Valley	Hawaii	21.35309	-157.88714	US	1
Upper Kalihi Valley	Hawaii	21.35461	-157.85605	US	1
Aliamanu Makai	Hawaii	21.35867	-157.91917	US	1
Aliamanu Mauka	Hawaii	21.35993	-157.90666	US	1
Aliamanu / Salt Lakes / Foster Village	Hawaii	21.36022	-157.91838	US	1
Kalihi Valley	Hawaii	21.36373	-157.84294	US	1
Moanalua	Hawaii	21.36777	-157.89113	US	1
West Loch Estates	Hawaii	21.37244	-158.02418	US	1
Maunawili	Hawaii	21.37278	-157.77056	US	1
Keolu Hills	Hawaii	21.3764	-157.72501	US	1
Olomana	Hawaii	21.37725	-157.75602	US	1
Hālawa Heights	Hawaii	21.37848	-157.91388	US	1
Lower Aiea	Hawaii	21.37852	-157.93224	US	1
Hālawa	Hawaii	21.37944	-157.92167	US	1
Enchanted Lake	Hawaii	21.3807	-157.73645	US	1
‘Aiea	Hawaii	21.38222	-157.93361	US	1
Robinson Heights	Hawaii	21.38283	-158.02856	US	1
Camp H.M. Smith	Hawaii	21.38471	-157.90962	US	1
Waipahu	Hawaii	21.38667	-158.00917	US	1
Lanikai	Hawaii	21.3888	-157.7149	US	1
Waimalu	Hawaii	21.38955	-157.93882	US	1
‘Aiea Heights	Hawaii	21.39083	-157.92053	US	1
Kailua Town	Hawaii	21.39266	-157.73536	US	1
Nānākuli	Hawaii	21.39362	-158.15429	US	1
Royal Kunia	Hawaii	21.39392	-158.0267	US	1
Lower Waiau	Hawaii	21.39594	-157.96507	US	1
Pearl City	Hawaii	21.39734	-157.97516	US	1
Village Park	Hawaii	21.39806	-158.03028	US	1
Newtown	Hawaii	21.39972	-157.93789	US	1
Kaneohe	Hawaii	21.39994	-157.79895	US	1
Manana Housing	Hawaii	21.40162	-157.98108	US	1
Kailua	Hawaii	21.40241	-157.74054	US	1
Lower Pearl City	Hawaii	21.40293	-157.95758	US	1
Pū‘ōhala Village	Hawaii	21.40849	-157.79556	US	1
Kalaheo Hillside	Hawaii	21.4162	-157.75255	US	1
Mā‘ili	Hawaii	21.41629	-158.17531	US	1
Waipio	Hawaii	21.41823	-157.99906	US	1
Pacific Palisades	Hawaii	21.42562	-157.95349	US	1
He‘eia	Hawaii	21.43054	-157.81611	US	1
Waianae	Hawaii	21.43785	-158.18555	US	1
Marine Corps Base Hawaii - MCBH	Hawaii	21.44336	-157.74981	US	1
‘Āhuimanu	Hawaii	21.44472	-157.83778	US	1
Mililani Town	Hawaii	21.4504	-158.01503	US	1
Kahalu‘u	Hawaii	21.45759	-157.84431	US	1
Waipi‘o Acres	Hawaii	21.46485	-158.01331	US	1
Mākaha	Hawaii	21.46627	-158.21037	US	1
Wheeler Army Airfield	Hawaii	21.47515	-158.03395	US	1
Mākaha Valley	Hawaii	21.47583	-158.19918	US	1
Mililani Mauka / Launani Valley	Hawaii	21.47885	-157.98799	US	1
Schofield Barracks	Hawaii	21.49837	-158.06515	US	1
Wahiawā	Hawaii	21.50279	-158.02464	US	1
Whitmore Village	Hawaii	21.51429	-158.02464	US	1
Makua Valley	Hawaii	21.52021	-158.22142	US	1
Helemano	Hawaii	21.53602	-158.01894	US	1
Ka‘a‘awa	Hawaii	21.55445	-157.85103	US	1
Punalu‘u	Hawaii	21.57045	-157.87557	US	1
Waialua	Hawaii	21.57688	-158.13154	US	1
Mokulēia	Hawaii	21.57967	-158.15313	US	1
Hale‘iwa	Hawaii	21.59284	-158.10339	US	1
Koolauloa	Hawaii	21.60579	-157.9265	US	1
Hau‘ula	Hawaii	21.6076	-157.90868	US	1
Kawailoa	Hawaii	21.62315	-158.08041	US	1
Lā‘ie	Hawaii	21.64547	-157.9225	US	1
Pupukea	Hawaii	21.65456	-158.06065	US	1
Kahuku	Hawaii	21.68048	-157.95237	US	1
Po‘ipū	Hawaii	21.8735	-159.44857	US	1
Koloa-Poipu	Hawaii	21.89449	-159.46467	US	1
Omao-Kukuiula	Hawaii	21.90097	-159.48594	US	1
Koloa	Hawaii	21.90365	-159.46663	US	1
Hanapēpē	Hawaii	21.90733	-159.5944	US	1
‘Ele‘ele	Hawaii	21.90738	-159.58322	US	1
Hanapēpē Heights	Hawaii	21.91633	-159.58995	US	1
Lawai	Hawaii	21.92159	-159.50376	US	1
Kaumakani-Hanapepe	Hawaii	21.92358	-159.54283	US	1
Kalāheo	Hawaii	21.92416	-159.52686	US	1
‘Ōma‘o	Hawaii	21.92581	-159.48818	US	1
Waimea	Hawaii	21.95707	-159.66893	US	1
Kekaha	Hawaii	21.96686	-159.71186	US	1
Puhi	Hawaii	21.96888	-159.40012	US	1
Kekaha-Waimea	Hawaii	21.97184	-159.69266	US	1
Lihue	Hawaii	21.98121	-159.3721	US	1
Hanamā‘ulu	Hawaii	21.994	-159.355	US	1
Wailua	Hawaii	22.05271	-159.33781	US	1
Wailua Homesteads	Hawaii	22.07244	-159.37677	US	1
Kapa‘a	Hawaii	22.07521	-159.31895	US	1
Anahola	Hawaii	22.14226	-159.31388	US	1
